date,n_reg
12/06/21 08:38,74645
13/06/21 07:04,75662
13/06/21 08:12,75662
13/06/21 08:16,75662
13/06/21 08:49,75662
13/06/21 09:04,75662
13/06/21 11:06,75662
13/06/21 17:32,75662
13/06/21 20:15,76330
13/06/21 20:16,76330
14/06/21 12:19,76330
15/06/21 12:21,77148
